Section,Question,A,B,C,D,Correct,Explanation
MCQ on Thyroid Disorders,1. Which condition is caused by deficiency of thyroid hormone in adults?,A) Hyperthyroidism,B) Hypothyroidism,C) Goiter,D) Cretinism,B,
MCQ on Thyroid Disorders,2. What is the normal range for fasting blood glucose level?,A) 70-99 mg/dL,B) 100-150 mg/dL,C) 151-200 mg/dL,D) Above 200 mg/dL,A,
MCQ on Thyroid Disorders,3. Buffalo hump is a sign of which endocrine disorder?,A) Hypothyroidism,B) Cushing's syndrome,C) Addison's disease,D) Diabetes insipidus,B,
MCQ on Thyroid Disorders,4. Which surgery is performed to remove the thyroid gland?,A) Adrenalectomy,B) Thyroidectomy,C) Parathyroidectomy,D) Pancreatectomy,B,
MCQ on Thyroid Disorders,5. Iodine deficiency can lead to which condition?,A) Diabetes mellitus,B) Goiter,C) Pheochromocytoma,D) Acromegaly,B,
MCQ on Thyroid Disorders,6. The water deprivation test is used to diagnose which disorder?,A) Diabetes mellitus,B) Diabetes insipidus,C) Hyperparathyroidism,D) Hypothyroidism,B,
MCQ on Thyroid Disorders,7. Which drug is commonly used to treat hypothyroidism?,A) Insulin,B) Levothyroxine,C) Prednisone,D) Propranolol,B,
MCQ on Thyroid Disorders,8. Moon face is a classic sign of:,A) Graves' disease,B) Cushing's syndrome,C) Myxedema,D) Tetany,B,
MCQ on Thyroid Disorders,9. What is the normal range for serum calcium level?,A) 3.5-5.0 mEq/L,B) 8.5-10.5 mg/dL,C) 1.5-2.5 mmol/L,D) 4.0-6.0 mg/dL,B,
MCQ on Thyroid Disorders,10. Addison's disease is caused by deficiency of which hormones?,A) Thyroid hormones,B) Adrenal cortex hormones,C) Growth hormone,D) Insulin,B,
MCQ on Thyroid Disorders,11. Which condition results from excess growth hormone in adults?,A) Dwarfism,B) Gigantism,C) Acromegaly,D) Cretinism,C,
MCQ on Thyroid Disorders,12. Chvostek's sign is associated with which disorder?,A) Hyperthyroidism,B) Hypoparathyroidism,C) Cushing's disease,D) Diabetes mellitus,B,
MCQ on Thyroid Disorders,13. The Vanillylmandelic acid (VMA) test is used to diagnose:,A) Hypothyroidism,B) Pheochromocytoma,C) Diabetes insipidus,D) Goiter,B,
MCQ on Thyroid Disorders,14. Which surgery removes the adrenal glands?,A) Thyroidectomy,B) Adrenalectomy,C) Parathyroidectomy,D) Hypophysectomy,B,
MCQ on Thyroid Disorders,15. Insulin is used to treat which endocrine disorder?,A) Hyperthyroidism,B) Diabetes mellitus,C) Addison's disease,D) Hyperparathyroidism,B,
MCQ on Thyroid Disorders,16. What is the normal range for TSH (Thyroid Stimulating Hormone)?,A) 0.4-4.0 mIU/L,B) 5.0-10.0 mIU/L,C) 10-20 mIU/L,D) Below 0.1 mIU/L,A,
MCQ on Thyroid Disorders,17. Trousseau's sign indicates low levels of which ion?,A) Sodium,B) Potassium,C) Calcium,D) Magnesium,C,
MCQ on Thyroid Disorders,18. Cretinism is caused by deficiency of thyroid hormone in:,A) Adults,B) Children,C) Elderly,D) Adolescents,B,
MCQ on Thyroid Disorders,19. Graves' disease is an example of:,A) Hormone deficiency,B) Hormone excess,C) Normal hormone level,D) Surgical condition,B,
MCQ on Thyroid Disorders,20. Which procedure is used to measure blood sugar levels?,A) Thyroid scan,B) Glucose tolerance test,C) ACTH stimulation test,D) Dexamethasone suppression test,B,
MCQ on Thyroid Disorders,21. Propylthiouracil is a drug used for:,A) Hypothyroidism,B) Hyperthyroidism,C) Diabetes,D) Addison's disease,B,
MCQ on Thyroid Disorders,22. What is the normal range for serum potassium?,A) 3.5-5.0 mEq/L,B) 1.5-2.5 mEq/L,C) 8.5-10.5 mEq/L,D) 70-99 mEq/L,A,
MCQ on Thyroid Disorders,23. Hypophysectomy is surgery to remove which gland?,A) Thyroid,B) Parathyroid,C) Pituitary,D) Adrenal,C,
MCQ on Thyroid Disorders,24. Which condition is due to iodine deficiency in children?,A) Acromegaly,B) Cretinism,C) Cushing's syndrome,D) Pheochromocytoma,B,
MCQ on Thyroid Disorders,25. The ACTH stimulation test diagnoses disorders of:,A) Thyroid,B) Adrenal glands,C) Pancreas,D) Parathyroid,B,
MCQ on Thyroid Disorders,26. Fatigue and weight gain are symptoms of:,A) Hyperthyroidism,B) Hypothyroidism,C) Hyperparathyroidism,D) Diabetes insipidus,B,
MCQ on Thyroid Disorders,27. Which drug is used for adrenal insufficiency?,A) Levothyroxine,B) Hydrocortisone,C) Metformin,D) Carbimazole,B,
MCQ on Thyroid Disorders,28. Exophthalmos is a sign of:,A) Hypothyroidism,B) Graves' disease,C) Addison's disease,D) Tetany,B,
MCQ on Thyroid Disorders,29. What is the normal range for free T4?,A) 0.8-1.8 ng/dL,B) 2.0-3.0 ng/dL,C) 4.0-5.0 ng/dL,D) Below 0.5 ng/dL,A,
MCQ on Thyroid Disorders,30. Parathyroidectomy is performed for:,A) Hypoparathyroidism,B) Hyperparathyroidism,C) Hypothyroidism,D) Diabetes,B,
MCQ on Thyroid Disorders,31. Myxedema coma is a severe form of:,A) Hyperthyroidism,B) Hypothyroidism,C) Cushing's syndrome,D) Addison's crisis,B,
MCQ on Thyroid Disorders,32. Which test is used for diagnosing Cushing's syndrome?,A) Water deprivation test,B) Dexamethasone suppression test,C) Glucose tolerance test,D) VMA test,B,
MCQ on Thyroid Disorders,33. Metformin is commonly used for:,A) Type 1 diabetes,B) Type 2 diabetes,C) Hyperthyroidism,D) Adrenal excess,B,
MCQ on Thyroid Disorders,34. Bronze skin pigmentation is a sign of:,A) Cushing's syndrome,B) Addison's disease,C) Graves' disease,D) Goiter,B,
MCQ on Thyroid Disorders,35. Gigantism is caused by excess:,A) Thyroid hormone,B) Growth hormone in children,C) Cortisol,D) Insulin,B,
MCQ on Thyroid Disorders,36. Thyroid scan is a diagnostic procedure for:,A) Adrenal disorders,B) Thyroid disorders,C) Pancreatic disorders,D) Pituitary disorders,B,
MCQ on Thyroid Disorders,37. Calcitonin is used to treat:,A) Hypocalcemia,B) Hypercalcemia,C) Hypoglycemia,D) Hyperglycemia,B,
MCQ on Thyroid Disorders,38. Weight loss and tachycardia are symptoms of:,A) Hypothyroidism,B) Hyperthyroidism,C) Hypoparathyroidism,D) Addison's disease,B,
MCQ on Thyroid Disorders,39. Pheochromocytoma is a tumor of:,A) Thyroid gland,B) Adrenal medulla,C) Parathyroid gland,D) Pancreas,B,
MCQ on Thyroid Disorders,40. Insulin pump is a therapeutic device for:,A) Hyperthyroidism,B) Diabetes mellitus,C) Cushing's disease,D) Goiter,B,
MCQ on Thyroid Disorders,41. Tetany is associated with:,A) High calcium,B) Low calcium,C) High potassium,D) Low sodium,B,
MCQ on Thyroid Disorders,42. Which surgery treats Hyperparathyroidism?,A) Adrenalectomy,B) Parathyroidectomy,C) Thyroidectomy,D) Hypophysectomy,B,
MCQ on Thyroid Disorders,43. Desmopressin is used for:,A) Diabetes mellitus,B) Diabetes insipidus,C) Hyperthyroidism,D) Addison's disease,B,
MCQ on Thyroid Disorders,44. Polyuria and polydipsia are symptoms of:,A) Hypothyroidism,B) Diabetes insipidus,C) Hypoparathyroidism,D) Goiter,B,
MCQ on Thyroid Disorders,45. The normal range for HbA1c in non-diabetics is:,A) Below 5.7%,B) 6.5-7.0%,C) 7.0-8.0%,D) Above 9.0%,A,
MCQ on Thyroid Disorders,46. Addisonian crisis is a severe form of:,A) Adrenal insufficiency,B) Thyroid storm,C) Diabetic ketoacidosis,D) Hyperparathyroidism,A,
MCQ on Thyroid Disorders,47. Radioactive iodine therapy is used for:,A) Hypothyroidism,B) Hyperthyroidism,C) Diabetes,D) Adrenal disorders,B,
MCQ on Thyroid Disorders,48. Hirsutism is a sign of excess:,A) Thyroid hormone,B) Androgens in Cushing's,C) Insulin,D) Parathyroid hormone,B,
MCQ on Thyroid Disorders,49. Fine needle aspiration is a diagnostic procedure for:,A) Adrenal tumors,B) Thyroid nodules,C) Pancreatic issues,D) Pituitary adenomas,B,
MCQ on Thyroid Disorders,50. Glucagon is used to treat:,A) Hyperglycemia,B) Hypoglycemia,C) Hypercalcemia,D) Hypocalcemia,B,
MCQ on Thyroid Disorders,1. Hypothyroidism is caused by:,A) Excess thyroid hormone,B) Deficiency of thyroid hormone,C) Excess iodine,D) Deficiency of calcium,B,
MCQ on Thyroid Disorders,2. What is a common symptom of hyperthyroidism?,A) Weight gain,B) Fatigue,C) Weight loss,D) Cold intolerance,C,
MCQ on Thyroid Disorders,3. Goiter is an enlargement of which gland?,A) Adrenal,B) Pituitary,C) Thyroid,D) Parathyroid,C,
MCQ on Thyroid Disorders,4. Which condition is caused by iodine deficiency?,A) Graves' disease,B) Endemic goiter,C) Myxedema,D) Thyroid storm,B,
MCQ on Thyroid Disorders,5. The normal range for TSH is approximately:,A) 0.4-4.0 mIU/L,B) 5.0-10.0 mIU/L,C) 10-20 mIU/L,D) Above 20 mIU/L,A,
MCQ on Thyroid Disorders,6. Levothyroxine is a drug used to treat:,A) Hyperthyroidism,B) Hypothyroidism,C) Diabetes,D) Cushing's syndrome,B,
MCQ on Thyroid Disorders,7. Exophthalmos is a bulging of the eyes seen in:,A) Hypothyroidism,B) Graves' disease,C) Addison's disease,D) Goiter,B,
MCQ on Thyroid Disorders,8. Cretinism is hypothyroidism in:,A) Adults,B) Infants and children,C) Elderly,D) Adolescents,B,
MCQ on Thyroid Disorders,9. Which drug is used to treat hyperthyroidism by inhibiting thyroid hormone production?,A) Insulin,B) Propylthiouracil,C) Hydrocortisone,D) Metformin,B,
MCQ on Thyroid Disorders,"10. Fatigue, dry skin, and constipation are symptoms of:",A) Hyperthyroidism,B) Hypothyroidism,C) Hyperparathyroidism,D) Diabetes insipidus,B,
MCQ on Thyroid Disorders,11. Radioactive iodine uptake test is used to diagnose:,A) Adrenal disorders,B) Thyroid function,C) Pancreatic issues,D) Pituitary tumors,B,
MCQ on Thyroid Disorders,12. Myxedema is a severe form of:,A) Hyperthyroidism,B) Hypothyroidism,C) Goiter,D) Thyroid cancer,B,
MCQ on Thyroid Disorders,13. The normal range for free T4 is approximately:,A) 0.8-1.8 ng/dL,B) 2.0-3.0 ng/dL,C) 4.0-5.0 ng/dL,D) Below 0.5 ng/dL,A,
MCQ on Thyroid Disorders,14. Graves' disease is an autoimmune disorder causing:,A) Hypothyroidism,B) Hyperthyroidism,C) Goiter only,D) Thyroid deficiency,B,
MCQ on Thyroid Disorders,15. Cold intolerance is a common sign of:,A) Hyperthyroidism,B) Hypothyroidism,C) Cushing's syndrome,D) Addison's disease,B,
MCQ on Thyroid Disorders,16. Tachycardia and heat intolerance are symptoms of:,A) Hypothyroidism,B) Hyperthyroidism,C) Hypoparathyroidism,D) Diabetes mellitus,B,
MCQ on Thyroid Disorders,17. Which vitamin or mineral is essential for thyroid hormone synthesis?,A) Calcium,B) Iodine,C) Iron,D) Vitamin D,B,
MCQ on Thyroid Disorders,18. Hashimoto's thyroiditis is a cause of:,A) Hyperthyroidism,B) Hypothyroidism,C) Adrenal insufficiency,D) Diabetes,B,
MCQ on Thyroid Disorders,19. Fine needle aspiration biopsy is used for:,A) Treating hyperthyroidism,B) Diagnosing thyroid nodules,C) Measuring blood sugar,D) Testing adrenal function,B,
MCQ on Thyroid Disorders,18. Thyroid storm is a life-threatening complication of:,A) Hypothyroidism,B) Hyperthyroidism,C) Goiter,D) Cretinism,B,
MCQ on Thyroid Disorders,19. Carbimazole is an antithyroid drug used for:,A) Hypothyroidism,B) Hyperthyroidism,C) Diabetes,D) Addison's disease,B,
MCQ on Thyroid Disorders,20. What is the normal range for T3 (triiodothyronine)?,A) 80-200 ng/dL,B) 200-300 ng/dL,C) 300-400 ng/dL,D) Below 50 ng/dL,A,
MCQ on Thyroid Disorders,21. Endemic goiter is common in areas with low:,A) Calcium,B) Iodine in soil and water,C) Potassium,D) Sodium,B,
MCQ on Thyroid Disorders,22. Beta-blockers like propranolol are used in hyperthyroidism to control:,A) Weight gain,B) Heart rate and symptoms,C) Blood sugar,D) Calcium levels,B,
MCQ on Thyroid Disorders,"23. In hypothyroidism, TSH levels are usually:",A) Low,B) High,C) Normal,D) Undetectable,B,
MCQ on Thyroid Disorders,24. Toxic multinodular goiter causes:,A) Hypothyroidism,B) Hyperthyroidism,C) No hormone change,D) Diabetes,B,
